class,finetuned_embedding
not_Aligator Loki Plushie,[0.00174998 0.01184589 0.05322038 ... 0.02114437 0.0041986  0.00264393]
not_Aligator Loki Plushie,[0.00036343 0.01916031 0.05555327 ... 0.0147731  0.0024539  0.00216063]
not_Aligator Loki Plushie,[0.0001688  0.05252565 0.05070224 ... 0.01620111 0.00499668 0.00585471]
not_Aligator Loki Plushie,"[4.1860461e-05 2.8039102e-02 4.1497186e-02 ... 5.1742424e-03 4.6039093e-04
 5.0673570e-04]"
not_Aligator Loki Plushie,[0.         0.04128765 0.05209217 ... 0.01557451 0.02336954 0.00788177]
not_Boastful Loki Armor,"[2.0341324e-02 1.7895272e-02 2.9128506e-03 ... 7.5302283e-05 7.5038138e-04
 1.1367582e-02]"
not_Boastful Loki Armor,[0.01156725 0.014532   0.01330752 ... 0.00054309 0.03564648 0.00888195]
not_Loki's Armor,[0.00116551 0.04261506 0.01896172 ... 0.01300268 0.         0.02460181]
not_Loki's Armor,[0.03115247 0.0198623  0.01326928 ... 0.01575992 0.00999818 0.01809402]
not_Loki's Armor,[0.01188613 0.01029302 0.05322374 ... 0.00658231 0.00697034 0.01679154]
not_Loki's Variant uniform,[0.01938208 0.0277289  0.00399163 ... 0.00353022 0.02212739 0.01714172]
not_Loki's Variant uniform,[0.03567982 0.02751451 0.00767142 ... 0.01054119 0.01408777 0.02593263]
not_Loki's Variant uniform,[0.01723618 0.02130494 0.00431833 ... 0.00088067 0.01210463 0.02185865]
not_Loki's Variant uniform,[0.00882353 0.01627171 0.00218808 ... 0.00066813 0.0221928  0.01231205]
not_Loki's Variant uniform,[0.0107455  0.00429705 0.00724364 ... 0.00649479 0.00866695 0.01817145]
not_Loki's dagger,"[2.3738362e-03 1.0506731e-02 3.2889958e-02 ... 3.3481305e-03 8.1425271e-05
 1.2413933e-02]"
not_Loki's dagger,[0.00428826 0.00857653 0.03051295 ... 0.00693796 0.00688631 0.02278391]
not_Loki's dagger,[0.00128467 0.02477706 0.06599841 ... 0.00894475 0.00132095 0.01485881]
not_Ravonna Renslayer's Uniform,[0.00027485 0.0041209  0.0213234  ... 0.00267834 0.04208294 0.00474252]
not_Ravonna Renslayer's Uniform,[0.00051231 0.00229225 0.0317991  ... 0.00385601 0.02403221 0.01120724]
not_Ravonna Renslayer's Uniform,[0.00038007 0.01226895 0.00962963 ... 0.0052927  0.05110142 0.00461841]
not_Ravonna Renslayer's Uniform,"[2.2008226e-05 1.2306251e-03 1.4792428e-02 ... 1.7132274e-03 4.0598739e-02
 1.7836543e-03]"
not_Ravonna Renslayer's Uniform,[0.00028446 0.00375242 0.01130394 ... 0.00121177 0.03607607 0.00407948]
not_Sylvie's Armor,[0.03312248 0.04651474 0.02206764 ... 0.0200769  0.00150727 0.01024585]
not_Sylvie's horned headpiece,[0.00144908 0.02846367 0.00706368 ... 0.00190858 0.02177298 0.01227377]
not_Sylvie's horned headpiece,[0.01590002 0.0361374  0.00071094 ... 0.00577705 0.01093079 0.00208701]
not_Sylvie's horned headpiece,[0.00044224 0.01398664 0.00267083 ... 0.01039659 0.05022699 0.01352267]
not_Sylvie's machete,[0.00026405 0.00575632 0.02148947 ... 0.01336623 0.01603687 0.00679639]
not_Sylvie's machete,[0.00015787 0.00156542 0.02092403 ... 0.01211677 0.05190433 0.00812562]
not_Sylvie's machete,[0.00125548 0.00306001 0.02260401 ... 0.00506012 0.0198449  0.00393765]
not_Sylvie's machete,[0.00598835 0.00844865 0.01412931 ... 0.01209401 0.00398045 0.0009652 ]
not_Sylvie's machete,[0.00416334 0.00129185 0.01986446 ... 0.01093783 0.03861215 0.01198886]
not_TVA Collar,[0.0086518  0.03485042 0.01310626 ... 0.01788511 0.00135648 0.01403648]
not_TVA Collar,[0.00820588 0.04646175 0.034627   ... 0.014673   0.00799824 0.02379477]
not_TVA Collar,[0.0084196  0.02781995 0.02022598 ... 0.02154566 0.00142785 0.02253704]
not_TVA Collar,[0.00487155 0.02289713 0.01835548 ... 0.03331245 0.00138163 0.02960126]
not_TVA Collar,[0.00497048 0.02629405 0.01324799 ... 0.01983232 0.00585694 0.02488763]
not_TVA Monitor,[0.01845389 0.00780538 0.03236707 ... 0.0068903  0.01532052 0.0224151 ]
not_TVA Prisoner Uniform,[0.00155389 0.05504381 0.04246188 ... 0.02255982 0.02658813 0.01003836]
not_TVA Prisoner Uniform,[0.00908793 0.03334976 0.04250968 ... 0.01556835 0.02387002 0.02651507]
not_TVA Prisoner Uniform,[0.02231942 0.06739431 0.02970342 ... 0.00163819 0.00755077 0.0196166 ]
not_TVA Prisoner Uniform,[0.01280192 0.03307081 0.04262442 ... 0.01813423 0.02667689 0.03041262]
not_TVA Prisoner Uniform,[0.00410275 0.10084023 0.03337521 ... 0.0005175  0.00603314 0.01136238]
not_TemPad,[0.00174222 0.01509524 0.00045292 ... 0.0023643  0.06066431 0.02321691]
not_TemPad,[0.00301554 0.00995314 0.01655574 ... 0.00041641 0.04031032 0.0228298 ]
not_TemPad,[0.00182145 0.01504329 0.01355781 ... 0.00128932 0.04042589 0.02419019]
not_TemPad,[0.         0.03078692 0.00417686 ... 0.00224938 0.03891155 0.03494718]
not_TemPad,[0.00035794 0.02318195 0.00539406 ... 0.0027529  0.03396536 0.03318027]
not_Time Stick,[0.00335361 0.00062073 0.02266876 ... 0.03288935 0.01150102 0.0197807 ]
not_Time Stick,[0.00495801 0.0238464  0.01149023 ... 0.0123035  0.         0.0235361 ]
not_Time Stick,[0.00144456 0.00274862 0.02730263 ... 0.02932605 0.0140794  0.02492963]
not_TimeSpear,[0.01261759 0.0078971  0.03111658 ... 0.00223909 0.00027928 0.01458137]
not_TimeSpear,[0.00516076 0.00056249 0.0380215  ... 0.00176505 0.         0.00824808]
not_TimeSpear,"[7.2570554e-05 0.0000000e+00 4.4067041e-03 ... 6.1495817e-04 2.8538874e-03
 7.2212201e-03]"
not_TimeSpear,[0.0065812  0.00494605 0.04230455 ... 0.00253658 0.         0.00957968]
not_TimeSpear,[0.00854359 0.00394866 0.02685415 ... 0.00067708 0.00218944 0.01133812]
