iteration,timestamp,video,frame,class,original_wrong_prediction,reason
2,2025-05-29T03:05:08.569859,Scenes 001-020__106D-5-_20230815151758589.mp4,87,not_Loki's Variant uniform,Loki's Variant uniform,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 001-020__106E-1- mos_20230727162142209.mp4,24,not_TVA Prisoner Uniform,TVA Prisoner Uniform,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 001-020__108E-1-_20230727173710924.mp4,133,not_Loki's Variant uniform,Loki's Variant uniform,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 001-020__108E-1-_20230727173710924.mp4,33,not_TemPad,TemPad,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 001-020__110A-2-_20230815160756908.mp4,73,not_TVA Prisoner Uniform,TVA Prisoner Uniform,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 001-020__110A-2-_20230815160756908.mp4,205,not_TimeSpear,TimeSpear,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 001-020__110C-1-_20230728125333457.mp4,184,not_Sylvie's machete,Sylvie's machete,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 001-020__111D-1-_20230728135829842.mp4,179,not_Sylvie's machete,Sylvie's machete,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 001-020__111D-1-_20230728135829842.mp4,42,not_TVA Collar,TVA Collar,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 001-020__111D-1-_20230728135829842.mp4,220,not_TemPad,TemPad,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 001-020__201E-2-_20230728112604212.mp4,44,not_Sylvie's horned headpiece,Sylvie's horned headpiece,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 001-020__201K-1-_20230815184646280.mp4,19,not_Sylvie's horned headpiece,Sylvie's horned headpiece,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 001-020__201L-1-_20230728112628503.mp4,101,not_Loki's Variant uniform,Loki's Variant uniform,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 001-020__207A-1-_20230815182030372.mp4,65,not_TVA Prisoner Uniform,TVA Prisoner Uniform,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 001-020__211-1-_20230815190444533.mp4,60,not_Loki's Variant uniform,Loki's Variant uniform,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 001-020__211H-2-_20230815190456898.mp4,120,not_Sylvie's machete,Sylvie's machete,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 001-020__211H-2-_20230815190456898.mp4,83,not_TemPad,TemPad,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 001-020__216A-4b- only_20230815182553047.mp4,92,not_TVA Monitor,TVA Monitor,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 001-020__220D-2-_20230815190723523.mp4,61,not_Loki's Variant uniform,Loki's Variant uniform,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 001-020__302-2_20230815200213180.mp4,32,not_Ravonna Renslayer's Uniform,Ravonna Renslayer's Uniform,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 001-020__303K-3-_20230815223320788.mp4,190,not_TimeSpear,TimeSpear,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 001-020__303L-1-_20230815223024888.mp4,26,not_TVA Prisoner Uniform,TVA Prisoner Uniform,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 001-020__303L-1-_20230815223024888.mp4,89,not_TimeSpear,TimeSpear,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 001-020__306-1-_20230803124944118.mp4,53,not_Sylvie's machete,Sylvie's machete,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 001-020__306B-5-_20230815201805729.mp4,96,not_Sylvie's machete,Sylvie's machete,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 001-020__306C-1-_20230815201919138.mp4,5,not_Aligator Loki Plushie,Aligator Loki Plushie,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 001-020__306C-1-_20230815201919138.mp4,123,not_Sylvie's machete,Sylvie's machete,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 001-020__306E-1-_20230815201829547.mp4,19,not_Aligator Loki Plushie,Aligator Loki Plushie,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 001-020__309-3-_20230815150109755.mp4,29,not_Sylvie's machete,Sylvie's machete,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 001-020__314-3_20230815232058756.mp4,109,not_Sylvie's machete,Sylvie's machete,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 001-020__504K-1-_20230816050602143.mp4,85,not_Loki's Variant uniform,Loki's Variant uniform,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 001-020__506E-1ng_b_20230816043951139.mp4,3,not_Sylvie's machete,Sylvie's machete,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 001-020__509-3_20230815200533637.mp4,45,not_TemPad,TemPad,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 021-040__221-4-_20230815180803766.mp4,38,not_TemPad,TemPad,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 021-040__226A-1-_20230815185254846.mp4,8,not_Sylvie's machete,Sylvie's machete,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 021-040__234A-2-_20230815192229849.mp4,47,not_Sylvie's machete,Sylvie's machete,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 021-040__234A-2-_20230815192229849.mp4,163,not_TVA Collar,TVA Collar,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 021-040__234A-2-_20230815192229849.mp4,42,not_TVA Prisoner Uniform,TVA Prisoner Uniform,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 021-040__237B-1-_20230815180326204.mp4,207,not_Sylvie's machete,Sylvie's machete,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 021-040__237B-1-_20230815180326204.mp4,109,not_TVA Prisoner Uniform,TVA Prisoner Uniform,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 021-040__237B-1-_20230815180326204.mp4,190,not_TimeSpear,TimeSpear,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 021-040__440H-2b-_20230816031331933.mp4,78,not_Aligator Loki Plushie,Aligator Loki Plushie,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 021-040__536A-3-_20230816063724398.mp4,41,not_TemPad,TemPad,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 041-060__156-5a- only pu_20230815181240389.mp4,538,not_TemPad,TemPad,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 041-060__156-6a- only pu_20230815175525189.mp4,65,not_TemPad,TemPad,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 041-060__156D-1- mos_20230815181940173.mp4,161,not_TVA Collar,TVA Collar,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 041-060__156F-1-_20230815175731629.mp4,71,not_TemPad,TemPad,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 041-060__244A-7- pu_20230815211729392.mp4,16,not_TVA Prisoner Uniform,TVA Prisoner Uniform,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 041-060__244B-1-_20230815212053650.mp4,60,not_TVA Prisoner Uniform,TVA Prisoner Uniform,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 061-080__165A-1-_20230815180241405.mp4,33,not_Sylvie's machete,Sylvie's machete,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 061-080__165A-1-_20230815180241405.mp4,37,not_TemPad,TemPad,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 061-080__165A-4-_20230815180313546.mp4,178,not_Sylvie's machete,Sylvie's machete,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 061-080__165A-4-_20230815180313546.mp4,315,not_TemPad,TemPad,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 061-080__265G-3-_20230815215442372.mp4,78,not_Sylvie's Armor,Sylvie's Armor,false_positive_negative
2,2025-05-29T03:05:08.569859,Scenes 061-080__265G-3-_20230815215442372.mp4,86,not_TimeSpear,TimeSpear,false_positive_negative
