class,finetuned_embedding
not_Aligator Loki Plushie,[0.00029019 0.01996323 0.05265356 ... 0.01863731 0.00576538 0.00079141]
not_Loki's Variant uniform,[0.00723848 0.01851993 0.01321311 ... 0.01365018 0.05036933 0.01499713]
not_Loki's dagger,[0.0015157  0.00450317 0.04749231 ... 0.00108555 0.00874193 0.02163087]
not_Sylvie's machete,[0.00049426 0.00040627 0.01707106 ... 0.00639945 0.03506664 0.00674804]
not_Sylvie's machete,"[3.6826812e-05 1.0791883e-02 2.6671657e-02 ... 1.5576561e-02 4.4897839e-02
 9.0529388e-03]"
not_Sylvie's machete,[0.00095846 0.00277497 0.01142482 ... 0.00570725 0.05298245 0.0223609 ]
not_Sylvie's machete,[0.00038974 0.00720756 0.03338936 ... 0.01224899 0.03875433 0.02075386]
not_Sylvie's machete,[0.00024991 0.00571145 0.01793175 ... 0.01035436 0.04748506 0.02113688]
not_TVA Collar,[0.0122556  0.02400825 0.02358579 ... 0.01651187 0.00066841 0.01657054]
not_TemPad,[0.00968681 0.00737926 0.0049741  ... 0.00118845 0.04267725 0.01719034]
not_TemPad,[0.00069905 0.01238749 0.00221445 ... 0.00389177 0.03929134 0.01936677]
not_TemPad,[0.01221376 0.00574225 0.02181817 ... 0.00084025 0.04083988 0.01636214]
not_TemPad,[0.01279585 0.01625357 0.00696329 ... 0.00678605 0.027534   0.02853894]
not_TemPad,[0.00748658 0.01164389 0.01677096 ... 0.00493941 0.03334532 0.0257202 ]
not_TimeSpear,"[1.0534589e-03 7.6428398e-05 2.9834548e-02 ... 4.7390563e-03 0.0000000e+00
 2.4134717e-03]"
not_TimeSpear,"[1.2855605e-02 3.2205240e-05 2.8850595e-02 ... 2.8619855e-03 5.6261397e-03
 6.2890970e-03]"
