video,frame,owl_label,embedding_shape,embedding_norm
Scenes 001-020__314-3_20230815232058756.mp4,112,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,58,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,115,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,83,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,52,Dark coat,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,87,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,65,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,64,Beige collared shirt,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,48,Dark leather armor,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,46,Dark leather armor,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,120,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,101,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,105,Dark coat,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,40,Dark leather armor,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,82,Beige collared shirt,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,61,Dark leather armor,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,47,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,21,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,24,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,108,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,81,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,111,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,80,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,78,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,30,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,51,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,53,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,56,Dark leather armor,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,96,Beige collared shirt,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,127,Horned helmet,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,64,Dark leather armor,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,97,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,85,Dark coat,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,76,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,50,Dark leather armor,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,89,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,91,Dark coat,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,41,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,116,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,84,Beige collared shirt,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,77,Beige collared shirt,"(2048,)",0.9999998807907104
Scenes 001-020__314-3_20230815232058756.mp4,127,Handheld Device,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,21,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,103,Dark coat,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,35,Dark leather armor,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,40,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,56,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,89,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,50,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,37,Beige collared shirt,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,116,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,44,Dark coat,"(2048,)",0.9999999403953552
