video,class,actual,predicted,confidence,frame,classification,iteration,extraction_timestamp,reason,negative_class_created,embedding_available
Scenes 001-020__106D-5-_20230815151758589.mp4,Loki's Variant uniform,0.0,1,0.8316255211830139,87.0,FP,2,2025-05-29T17:09:00.853993,false_positive_for_training,not_Loki's Variant uniform,True
Scenes 001-020__106E-1- mos_20230727162142209.mp4,TVA Prisoner Uniform,0.0,1,0.8964415192604065,24.0,FP,2,2025-05-29T17:09:00.853993,false_positive_for_training,not_TVA Prisoner Uniform,True
Scenes 001-020__108E-1-_20230727173710924.mp4,Loki's Variant uniform,0.0,1,0.8210659623146057,133.0,FP,2,2025-05-29T17:09:00.853993,false_positive_for_training,not_Loki's Variant uniform,True
Scenes 001-020__108E-1-_20230727173710924.mp4,TemPad,0.0,1,0.8803197145462036,33.0,FP,2,2025-05-29T17:09:00.853993,false_positive_for_training,not_TemPad,True
Scenes 001-020__110A-2-_20230815160756908.mp4,TVA Prisoner Uniform,0.0,1,0.9492488503456116,73.0,FP,2,2025-05-29T17:09:00.853993,false_positive_for_training,not_TVA Prisoner Uniform,True
Scenes 001-020__110A-2-_20230815160756908.mp4,TimeSpear,0.0,1,0.8201332092285156,205.0,FP,2,2025-05-29T17:09:00.853993,false_positive_for_training,not_TimeSpear,True
Scenes 001-020__110C-1-_20230728125333457.mp4,Sylvie's machete,0.0,1,0.8072955012321472,184.0,FP,2,2025-05-29T17:09:00.853993,false_positive_for_training,not_Sylvie's machete,True
Scenes 001-020__111D-1-_20230728135829842.mp4,Sylvie's machete,0.0,1,0.8196855187416077,179.0,FP,2,2025-05-29T17:09:00.853993,false_positive_for_training,not_Sylvie's machete,True
Scenes 001-020__111D-1-_20230728135829842.mp4,TVA Collar,0.0,1,0.8821501731872559,42.0,FP,2,2025-05-29T17:09:00.853993,false_positive_for_training,not_TVA Collar,True
Scenes 001-020__111D-1-_20230728135829842.mp4,TemPad,0.0,1,0.9226252436637878,220.0,FP,2,2025-05-29T17:09:00.853993,false_positive_for_training,not_TemPad,True
Scenes 001-020__201E-2-_20230728112604212.mp4,Sylvie's horned headpiece,0.0,1,0.8605893850326538,44.0,FP,2,2025-05-29T17:09:00.853993,false_positive_for_training,not_Sylvie's horned headpiece,True
Scenes 001-020__201K-1-_20230815184646280.mp4,Sylvie's horned headpiece,0.0,1,0.8527131080627441,19.0,FP,2,2025-05-29T17:09:00.853993,false_positive_for_training,not_Sylvie's horned headpiece,True
Scenes 001-020__201L-1-_20230728112628503.mp4,Loki's Variant uniform,0.0,1,0.8478537201881409,101.0,FP,2,2025-05-29T17:09:00.853993,false_positive_for_training,not_Loki's Variant uniform,True
Scenes 001-020__207A-1-_20230815182030372.mp4,TVA Prisoner Uniform,0.0,1,0.8301109075546265,65.0,FP,2,2025-05-29T17:09:00.853993,false_positive_for_training,not_TVA Prisoner Uniform,True
Scenes 001-020__211-1-_20230815190444533.mp4,Loki's Variant uniform,0.0,1,0.8098804950714111,60.0,FP,2,2025-05-29T17:09:00.853993,false_positive_for_training,not_Loki's Variant uniform,True
Scenes 001-020__211H-2-_20230815190456898.mp4,Sylvie's machete,0.0,1,0.8092820644378662,120.0,FP,2,2025-05-29T17:09:00.853993,false_positive_for_training,not_Sylvie's machete,True
Scenes 001-020__211H-2-_20230815190456898.mp4,TemPad,0.0,1,0.8360462188720703,83.0,FP,2,2025-05-29T17:09:00.853993,false_positive_for_training,not_TemPad,True
Scenes 001-020__216A-4b- only_20230815182553047.mp4,TVA Monitor,0.0,1,0.8093618154525757,92.0,FP,2,2025-05-29T17:09:00.853993,false_positive_for_training,not_TVA Monitor,True
Scenes 001-020__220D-2-_20230815190723523.mp4,Loki's Variant uniform,0.0,1,0.82680743932724,61.0,FP,2,2025-05-29T17:09:00.853993,false_positive_for_training,not_Loki's Variant uniform,True
Scenes 001-020__302-2_20230815200213180.mp4,Ravonna Renslayer's Uniform,0.0,1,0.8246088624000549,32.0,FP,2,2025-05-29T17:09:00.853993,false_positive_for_training,not_Ravonna Renslayer's Uniform,True
Scenes 001-020__303K-3-_20230815223320788.mp4,TimeSpear,0.0,1,0.8448684811592102,190.0,FP,2,2025-05-29T17:09:00.853993,false_positive_for_training,not_TimeSpear,True
Scenes 001-020__303L-1-_20230815223024888.mp4,TVA Prisoner Uniform,0.0,1,0.8555815815925598,26.0,FP,2,2025-05-29T17:09:00.853993,false_positive_for_training,not_TVA Prisoner Uniform,True
Scenes 001-020__303L-1-_20230815223024888.mp4,TimeSpear,0.0,1,0.877956211566925,89.0,FP,2,2025-05-29T17:09:00.853993,false_positive_for_training,not_TimeSpear,True
